ID,RESOLUTION,CHM,CHD,IFN,IRN,OPN,SMQ,SCOH,SCOP,CMQ,CCOH,CCOP,SERVICES,K,NMI,NMI_filtered,penalty_swm,penalty_mean,score_swm,penalty_rel_swm,H_global,n_clusters
04_03_09_41_09_655144,0.3,0.54,0.6589841269841269,1.2,142.0,18.0,0.2055770821121698,0.2168762524025682,0.0112991702903983,0.5220960775616647,0.5253833885412833,0.0032873109796186,13,4,0.19748950543151977,0.1980956830417291,0.7976762364573372,0.7295707233157868,0.2023237635426628,0.8172528438492381,0.9760458375406861,13.0
04_03_09_41_09_671151,0.3,0.4166666666666667,0.4744973544973545,1.2,173.0,18.0,0.2473058717076574,0.2706872492586778,0.0233813775510204,0.5380987266701555,0.5392551892551894,0.001156462585034,21,4,0.2549856341337226,0.2622619418549716,0.7243499654642888,0.6176442430344815,0.27565003453571124,0.7421269960941713,0.9760458375406859,21.0
04_03_09_41_09_685939,0.3,0.4175595238095237,0.5501686507936507,1.5,155.0,18.0,0.2489604137475514,0.2608255170755171,0.0118651033279656,0.6569342152281662,0.6574855699855701,0.0005513547574039,24,4,0.26753281052989775,0.2736460701784767,0.7021237483711552,0.5968708378354097,0.2978762516288448,0.7193553021446983,0.9760458375406859,24.0
04_03_09_41_09_700561,0.4,0.5972222222222222,0.7102292768959435,1.0,148.0,18.0,0.2525782513441106,0.2634959539371304,0.0109177025930197,0.4748929746190413,0.475960939931528,0.0010679653124866,18,4,0.22463734447098546,0.22302083171154546,0.7633645958856805,0.6655483423436501,0.2366354041143195,0.782099125394672,0.9760458375406859,18.0
04_03_09_41_09_716530,0.4,0.54,0.6589841269841269,1.2,130.0,18.0,0.2116730400246883,0.2223356009070294,0.0106625608823411,0.4627701968361308,0.4653061224489795,0.0025359256128486,14,4,0.2318522382112993,0.23377324220269113,0.7629612587812422,0.70740509282115,0.2370387412187578,0.7816858895722084,0.9760458375406859,14.0
04_03_09_41_09_731961,0.4,0.54,0.6589841269841269,1.2,135.0,18.0,0.20637030711599,0.2208224315367172,0.0144521244207272,0.4625327053898481,0.4656724228152799,0.0031397174254317,14,4,0.23789213549564844,0.24361529950818533,0.7622336870113062,0.7223891337061541,0.23776631298869377,0.780940461701967,0.9760458375406859,14.0
04_03_09_41_09_747237,0.5,0.54,0.658984126984127,1.2,138.0,18.0,0.2421264442926441,0.2540442237501061,0.0119177794574619,0.47641751650155,0.4784129813541578,0.0019954648526077,15,4,0.23495189052414625,0.23350707337244375,0.7641321052545099,0.6535786981490994,0.23586789474549008,0.7828854710142212,0.9760458375406859,15.0
04_03_09_41_09_765931,0.5,0.54,0.6589841269841269,1.2,133.0,18.0,0.2062201915910707,0.2196083678226535,0.0133881762315828,0.4567372493196669,0.4595146916575488,0.0027774423378818,14,4,0.23702314823229154,0.242646722789506,0.7637887845055319,0.7216872068678027,0.2362112154944681,0.7825337244714121,0.9760458375406861,14.0
04_03_09_41_09_784754,0.5,0.5972222222222222,0.7102292768959435,1.0,151.0,18.0,0.2426301958072791,0.2572803932178932,0.014650197410614,0.4693272005772005,0.4710633116883116,0.0017361111111111,16,4,0.2583581239437127,0.26963109102942934,0.7277313565954302,0.6872490077933276,0.2722686434045698,0.7455913734841323,0.9760458375406859,16.0
04_03_09_41_09_804676,0.6,0.3,0.3237301587301587,1.5,127.0,18.0,0.1946997867452413,0.2078647047397047,0.0131649179944634,0.5171993410629774,0.5192654567654568,0.0020661157024793,12,4,0.20716051732894983,0.2106204150031869,0.7956057916051462,0.6607700211335422,0.20439420839485378,0.8151315860429371,0.9760458375406859,12.0
04_03_09_41_09_823507,0.6,0.5773809523809523,0.6489406179138322,1.5,129.0,14.0,0.2513875611271444,0.262696158008658,0.0113085968815135,0.5020562770562769,0.503792388167388,0.0017361111111111,16,4,0.2577718820335983,0.2650074594183549,0.7303764658071185,0.6781457763124723,0.26962353419288154,0.7483013990894389,0.9760458375406859,16.0
04_03_09_41_09_840787,0.6,0.3,0.3237301587301587,1.5,120.0,18.0,0.2109245333234303,0.2233422215039862,0.0124176881805558,0.4766764491697646,0.4801199753405635,0.0034435261707988,12,4,0.20609904231415044,0.2099714124929927,0.8091515302743335,0.7463625701813733,0.1908484697256665,0.8290097648622005,0.9760458375406859,12.0
04_03_09_41_09_859263,0.7,0.5972222222222222,0.7102292768959435,1.0,164.0,18.0,0.2454662976301632,0.2624338624338624,0.0169675648036992,0.4730225859406943,0.4746031746031746,0.0015805886624802,18,4,0.2561460690670733,0.26004352871924163,0.7301196728064492,0.7212508720581811,0.2698803271935508,0.7480383038629727,0.9760458375406859,18.0
04_03_09_41_09_875983,0.7,0.54,0.6589841269841269,1.2,142.0,18.0,0.2347363265592432,0.249803841991342,0.0150675154320987,0.4573376623376622,0.4592126623376623,0.001875,16,4,0.2506243371533993,0.2669828192490563,0.7348269119823646,0.6890093089265256,0.2651730880176354,0.7528610683222485,0.9760458375406859,16.0
04_03_09_41_09_896330,0.7,0.54,0.658984126984127,1.2,125.0,18.0,0.21735739170624,0.2295083122006199,0.0121509204943799,0.4543674274443505,0.4574903728749882,0.0031229454306377,13,4,0.2163927758875325,0.22319731611792992,0.787716840762956,0.7298570122314734,0.212283159237044,0.807049024201305,0.9760458375406859,13.0
04_03_09_41_09_916227,0.8,0.5972222222222222,0.7102292768959435,1.0,154.0,18.0,0.2092534477364409,0.2263410663410663,0.0170876186046254,0.4483952555381126,0.451025641025641,0.0026303854875283,15,4,0.27516608720179464,0.2783402351056248,0.7191565888702922,0.7058432176276332,0.2808434111297078,0.7368061634096305,0.9760458375406859,15.0
04_03_09_41_09_934684,0.8,0.4166666666666666,0.4522751322751322,1.2,129.0,18.0,0.2054851167351167,0.2164169164169164,0.0109317996817996,0.4664396209850755,0.4708014208014208,0.0043617998163452,12,4,0.17803541665549605,0.1757094824171123,0.8186969918451071,0.7575611550198298,0.18130300815489286,0.8387894915959622,0.9760458375406861,12.0
