ID,pen_data
04_03_09_39_14_392319,0.0
04_03_09_39_14_406060,0.16666666666666666
04_03_09_39_14_422259,0.0
04_03_09_39_14_439608,0.0
04_03_09_39_14_453850,0.0
04_03_09_39_14_467569,0.0
04_03_09_39_14_481907,0.0
04_03_09_39_14_498348,0.0
04_03_09_39_14_517072,0.0
04_03_09_39_14_533587,0.0
04_03_09_39_14_549751,0.0
04_03_09_39_14_566347,0.0
04_03_09_39_14_583725,0.0
04_03_09_39_14_601158,0.0
04_03_09_39_14_621862,0.0
04_03_09_39_14_643239,0.0
04_03_09_39_14_661653,0.0
04_03_09_39_14_682633,0.0
04_03_09_39_14_701439,0.0
04_03_09_39_14_721457,0.0
04_03_09_39_14_739445,0.0
04_03_09_39_14_760583,0.0
04_03_09_39_14_785497,0.0
04_03_09_39_14_812238,0.0
04_03_09_41_09_655144,0.0
04_03_09_41_09_671151,0.0
04_03_09_41_09_685939,0.0
04_03_09_41_09_700561,0.0
04_03_09_41_09_716530,0.0
04_03_09_41_09_731961,0.0
04_03_09_41_09_747237,0.0
04_03_09_41_09_765931,0.0
04_03_09_41_09_784754,0.0
04_03_09_41_09_804676,0.0
04_03_09_41_09_823507,0.0
04_03_09_41_09_840787,0.0
04_03_09_41_09_859263,0.0
04_03_09_41_09_875983,0.0
04_03_09_41_09_896330,0.0
04_03_09_41_09_916227,0.0
04_03_09_41_09_934684,0.0
04_03_09_41_09_954365,0.0
04_03_09_41_09_972331,0.0
04_03_09_41_09_992680,0.0
04_03_09_41_10_010237,0.0
04_03_09_41_10_031713,0.0
04_03_09_41_10_051132,0.0
04_03_09_41_10_072779,0.0
04_03_09_43_04_295983,0.4166666666666667
04_03_09_43_04_313179,0.0
04_03_09_43_04_328271,0.0
04_03_09_43_04_344096,0.0
04_03_09_43_04_359723,0.0
04_03_09_43_04_375569,0.0
04_03_09_43_04_394391,0.0
04_03_09_43_04_410191,0.0
04_03_09_43_04_427489,0.0
04_03_09_43_04_444788,0.0
04_03_09_43_04_461748,0.0
04_03_09_43_04_479021,0.0
04_03_09_43_04_495457,0.0
04_03_09_43_04_512962,0.0
04_03_09_43_04_531818,0.0
04_03_09_43_04_554616,0.0
04_03_09_43_04_573117,0.0
04_03_09_43_04_591060,0.0
04_03_09_43_04_610551,0.0
04_03_09_43_04_633272,0.0
04_03_09_43_04_652028,0.0
04_03_09_43_04_669901,0.0
04_03_09_43_04_688597,0.0
04_03_09_43_04_710235,0.0
04_03_09_45_27_935389,0.0
04_03_09_45_27_949315,0.0
04_03_09_45_27_963422,0.0
04_03_09_45_27_978699,0.0
04_03_09_45_27_991786,0.0
04_03_09_45_28_007588,0.0
04_03_09_45_28_022725,0.0
04_03_09_45_28_038861,0.0
04_03_09_45_28_057129,0.0
04_03_09_45_28_076187,0.0
04_03_09_45_28_092280,0.0
04_03_09_45_28_107097,0.0
04_03_09_45_28_125221,0.0
04_03_09_45_28_146562,0.0
04_03_09_45_28_169400,0.0
04_03_09_45_28_191424,0.0
04_03_09_45_28_212261,0.0
04_03_09_45_28_233066,0.0
04_03_09_45_28_255630,0.0
04_03_09_45_28_279423,0.0
04_03_09_45_28_300715,0.0
04_03_09_45_28_325350,0.0
04_03_09_45_28_349839,0.0
04_03_09_45_28_371587,0.0
04_03_09_48_11_824424,0.0
04_03_09_48_11_841158,0.0
04_03_09_48_11_858408,0.0
04_03_09_48_11_875901,0.0
04_03_09_48_11_896124,0.0
04_03_09_48_11_919109,0.0
04_03_09_48_11_939049,0.0
04_03_09_48_11_959457,0.0
04_03_09_48_11_987285,0.0
04_03_09_48_12_010725,0.0
04_03_09_48_12_032644,0.0
04_03_09_48_12_055737,0.0
04_03_09_48_12_076197,0.0
04_03_09_48_12_100020,0.0
04_03_09_48_12_123238,0.0
04_03_09_48_12_143808,0.0
04_03_09_48_12_164310,0.0
04_03_09_48_12_190769,0.0
04_03_09_48_12_217195,0.0
04_03_09_48_12_240202,0.0
04_03_09_48_12_263943,0.0
04_03_09_48_12_307898,0.0
04_03_09_48_12_333873,0.0
04_03_09_50_44_793314,0.0
04_03_09_50_44_808464,0.0
04_03_09_50_44_824171,0.0
04_03_09_50_44_838759,0.0
04_03_09_50_44_853535,0.0
04_03_09_50_44_871910,0.0
04_03_09_50_44_890557,0.0
04_03_09_50_44_908086,0.0
04_03_09_50_44_929653,0.0
04_03_09_50_44_951296,0.0
04_03_09_50_44_973752,0.0
04_03_09_50_44_992563,0.0
04_03_09_50_45_018485,0.0
04_03_09_50_45_036796,0.0
04_03_09_50_45_056772,0.0
04_03_09_50_45_079386,0.0
04_03_09_50_45_101954,0.0
04_03_09_50_45_123795,0.0
04_03_09_50_45_149552,0.0
04_03_09_50_45_174115,0.0
04_03_09_50_45_199334,0.0
04_03_09_50_45_227112,0.0
04_03_09_50_45_250086,0.0
04_03_09_50_45_275576,0.0
04_03_09_53_24_059459,0.0
04_03_09_53_24_074265,0.0
04_03_09_53_24_089088,0.0
04_03_09_53_24_104809,0.0
04_03_09_53_24_123620,0.0
04_03_09_53_24_137278,0.0
04_03_09_53_24_151885,0.0
04_03_09_53_24_166756,0.0
04_03_09_53_24_183360,0.0
04_03_09_53_24_201269,0.0
04_03_09_53_24_220150,0.0
04_03_09_53_24_236402,0.0
04_03_09_53_24_254129,0.0
04_03_09_53_24_273311,0.0
04_03_09_53_24_292538,0.0
04_03_09_53_24_312162,0.0
04_03_09_53_24_330586,0.0
04_03_09_53_24_351110,0.0
04_03_09_53_24_371571,0.0
04_03_09_53_24_391439,0.0
04_03_09_53_24_410959,0.0
04_03_09_53_24_430187,0.0
04_03_09_53_24_449586,0.0
04_03_09_53_24_470912,0.0
04_03_09_55_48_031904,0.0
04_03_09_55_48_052435,0.0
04_03_09_55_48_072523,0.0
04_03_09_55_48_104165,0.0
04_03_09_55_48_139204,0.0
04_03_09_55_48_175908,0.0
04_03_09_55_48_206643,0.0
04_03_09_55_48_245335,0.0
04_03_09_55_48_283153,0.0
04_03_09_55_48_318591,0.0
04_03_09_55_48_352499,0.0
04_03_09_55_48_387690,0.0
04_03_09_55_48_433952,0.0
04_03_09_55_48_471243,0.0
04_03_09_55_48_511126,0.0
04_03_09_55_48_540366,0.0
04_03_09_55_48_572900,0.0
04_03_09_55_48_599544,0.0
04_03_09_55_48_631054,0.0
04_03_09_55_48_663318,0.0
04_03_09_55_48_728387,0.0
04_03_09_55_48_757427,0.0
04_03_09_55_48_782308,0.0
04_03_09_58_22_483240,0.0
04_03_09_58_22_497128,0.0
04_03_09_58_22_514717,0.0
04_03_09_58_22_531547,0.0
04_03_09_58_22_548722,0.0
04_03_09_58_22_567430,0.0
04_03_09_58_22_582854,0.0
04_03_09_58_22_598511,0.0
04_03_09_58_22_622745,0.0
04_03_09_58_22_639869,0.0
04_03_09_58_22_658398,0.0
04_03_09_58_22_677088,0.0
04_03_09_58_22_695616,0.0
04_03_09_58_22_717259,0.0
04_03_09_58_22_736020,0.0
04_03_09_58_22_754055,0.0
04_03_09_58_22_772960,0.0
04_03_09_58_22_792641,0.0
04_03_09_58_22_813217,0.0
04_03_09_58_22_833865,0.0
04_03_09_58_22_851503,0.0
04_03_09_58_22_871844,0.0
04_03_09_58_22_891863,0.0
04_03_09_58_22_911522,0.0
04_03_10_00_48_521096,0.0
04_03_10_00_48_535781,0.0
04_03_10_00_48_550446,0.0
04_03_10_00_48_565558,0.0
04_03_10_00_48_582710,0.0
04_03_10_00_48_599645,0.0
04_03_10_00_48_615263,0.0
04_03_10_00_48_630170,0.0
04_03_10_00_48_645643,0.0
04_03_10_00_48_660751,0.0
04_03_10_00_48_680179,0.0
04_03_10_00_48_695512,0.0
04_03_10_00_48_713450,0.0
04_03_10_00_48_731117,0.0
04_03_10_00_48_748273,0.0
04_03_10_00_48_765596,0.0
04_03_10_00_48_784030,0.0
04_03_10_00_48_802484,0.0
04_03_10_00_48_823246,0.0
04_03_10_00_48_842812,0.0
04_03_10_00_48_862409,0.0
04_03_10_00_48_881621,0.0
04_03_10_00_48_902668,0.0
04_03_10_00_48_925156,0.0
04_03_10_03_04_783797,0.4166666666666667
04_03_10_03_04_799750,0.0
04_03_10_03_04_817738,0.0
04_03_10_03_04_841191,0.0
04_03_10_03_04_859707,0.0
04_03_10_03_04_883121,0.0
04_03_10_03_04_914072,0.0
04_03_10_03_04_943709,0.0
04_03_10_03_04_963197,0.0
04_03_10_03_04_986661,0.0
04_03_10_03_05_008060,0.0
04_03_10_03_05_031312,0.0
04_03_10_03_05_052806,0.0
04_03_10_03_05_083056,0.0
04_03_10_03_05_103732,0.0
04_03_10_03_05_125523,0.0
04_03_10_03_05_149656,0.0
04_03_10_03_05_172212,0.0
04_03_10_03_05_195313,0.0
04_03_10_03_05_218902,0.0
04_03_10_03_05_242815,0.0
04_03_10_03_05_265266,0.0
04_03_10_03_05_287628,0.0
04_03_10_03_05_309573,0.0
04_03_10_05_59_647790,0.0
04_03_10_05_59_667467,0.0
04_03_10_05_59_684894,0.0
04_03_10_05_59_701868,0.0
04_03_10_05_59_721958,0.0
04_03_10_05_59_743030,0.0
04_03_10_05_59_760873,0.0
04_03_10_05_59_779254,0.0
04_03_10_05_59_795850,0.0
04_03_10_05_59_815468,0.0
04_03_10_05_59_834732,0.0
04_03_10_05_59_852400,0.0
04_03_10_05_59_870458,0.0
04_03_10_05_59_890357,0.0
04_03_10_05_59_910358,0.0
04_03_10_05_59_930816,0.0
04_03_10_05_59_949408,0.0
04_03_10_05_59_967739,0.0
04_03_10_05_59_988629,0.0
04_03_10_06_00_007918,0.0
04_03_10_06_00_028017,0.0
04_03_10_06_00_049991,0.0
04_03_10_06_00_073272,0.0
04_03_10_06_00_095124,0.0
