metric,rho_partial,p_value
CHM,0.21070832064921227,0.00033301694506572473
CHD,0.34062708727212054,3.358006831505273e-09
IFN,-0.22711137745326243,0.00010674139144999651
IRN,0.17938856122976182,0.0023253354690635597
OPN,0.18989642148783706,0.0012518896430978382
SMQ,-0.05564246096630438,0.34844747319976127
SCOH,-0.03073117245359238,0.6047670403171691
SCOP,0.15368153040063354,0.009238767051226967
CMQ,0.02080728415247988,0.7260535414325429
CCOH,0.014092526690391457,0.8124284838324912
CCOP,0.010521498864916757,0.859382446847541
