metric,rho,p_value
CHM,0.5313933617676097,3.039645175040591e-22
CHD,0.5335292139509362,1.9290684254653806e-22
IFN,-0.41155209204038395,4.0627525943033654e-13
IRN,0.7002723930974114,1.8067285575241506e-43
OPN,-0.07488478386391978,0.20671715896023132
SMQ,0.6295459587701581,5.588856242954426e-33
SCOH,0.649672277259466,1.1117292190536255e-35
SCOP,0.359489642459641,3.7636708423189244e-10
CMQ,0.7727477798082779,5.222330465164944e-58
CCOH,0.7655908435125517,2.424459792320708e-56
CCOP,-0.8041474515470012,4.105021391045021e-66
SERVICES,0.8438598534151256,9.129567907208183e-79
