metric,rho,p_value
CHM,0.6465777910147892,6.2062025977384815e-18
CHD,-0.6495259025026944,3.921965008964137e-18
IFN,-0.3742937066159236,5.220744757860324e-06
IRN,0.4690298827903806,5.064968425464244e-09
OPN,0.28912026793968426,0.0005311367078159378
SMQ,0.5633703459919165,4.286125059706752e-13
SCOH,0.5800635830018703,5.888824245424753e-14
SCOP,-0.1397069316557708,0.09970229081107873
CMQ,0.7316010154108357,1.0070848233064292e-24
CCOH,0.6372747695008343,2.556912384408547e-17
CCOP,-0.6113636167448815,1.0344633047712207e-15
SERVICES,0.6699638558512402,1.4091716481452101e-19
