metric,rho,p_value
CHM,-0.4683857470782925,5.30971727394821e-17
CHD,-0.36380050593369034,2.235955822058062e-10
IFN,0.2371671388684595,5.094591327469065e-05
IRN,-0.6706133690089888,1.0214577180696152e-38
OPN,0.239155162339975,4.3845924592909645e-05
SMQ,-0.6767005867077042,1.200339252587841e-39
SCOH,-0.687703760700202,2.1895912060636257e-41
SCOP,-0.2966574071568627,3.213714697133918e-07
CMQ,-0.9156731108332531,1.9484470304309355e-114
CCOH,-0.9105541983264402,5.773301453421961e-111
CCOP,0.9257020832235029,6.287946553689118e-122
SERVICES,-0.9062522943253799,3.3215863587013052e-108
