metric,rho,p_value
CHM,-0.5969989118122063,6.981583050483288e-15
CHD,0.6036658045838917,2.9125054135862253e-15
IFN,0.38494316059600053,2.6513190365010093e-06
IRN,-0.5625213108608484,4.727454237866543e-13
OPN,-0.2644587626070565,0.0015914144294442458
SMQ,-0.6733008533028602,7.982890930783838e-20
SCOH,-0.6538599403376876,1.9790629350219087e-18
SCOP,0.26974421036478785,0.0012685510863915898
CMQ,-0.7947285778996881,1.0134101160424746e-31
CCOH,-0.6719018805257873,1.0139540208419881e-19
CCOP,0.8130295303599927,3.175452155925249e-34
SERVICES,-0.8576550474209561,1.0863901968988409e-41
