metric,rho,p_value
CHM,-0.5703753081807857,4.4341019516249685e-26
CHD,-0.5440364176295835,1.9641883666510785e-23
IFN,0.4307493329413379,2.3843673856497363e-14
IRN,-0.7666975747195278,1.3514013834264288e-56
OPN,0.11059573570654051,0.061777900071982694
SMQ,-0.6948114520214164,1.4974280404232635e-42
SCOH,-0.7128186977012598,1.1632003812204081e-45
SCOP,-0.3563515573532853,5.471683936067324e-10
CMQ,-0.8020362283992178,1.597563656942124e-65
CCOH,-0.7944545541983263,1.841926966836532e-63
CCOP,0.8554564957459277,3.819041523752451e-83
SERVICES,-0.9000390088091678,1.9076471809834064e-104
