metric,rho,p_value
CHM,-0.5940152668152486,1.0257694981709175e-14
CHD,0.5992771746964011,5.190313663032899e-15
IFN,0.34974449290597054,2.2784916423466536e-05
IRN,-0.6350675183198566,3.552585527917741e-17
OPN,-0.2792777455218592,0.0008330360963627947
SMQ,-0.6580294008165177,1.0141089573776715e-18
SCOH,-0.7020171142839678,4.339515778818566e-22
SCOP,0.16234510803807373,0.055313596622421905
CMQ,-0.8225421943394934,1.2271598036419353e-35
CCOH,-0.714287170723359,3.848844730378295e-23
CCOP,0.7815983719564721,4.4751511733453185e-30
SERVICES,-0.8557882506267843,2.4958966026660185e-41
